Type,Name,Address,Grade,District,AGA Division,PS/MC/UC,City,Tags,place_id
Restaurants,LOTUS LEAF RESTAURANT,"NO. 466, UNION PLACE, COLOMBO 02",A,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,restaurant restaurants,806
Spice Gardens,LUCKGROVE SPICE GARDEN,"NO. 28,PALAPATHWALA, MATALE",Unrated,Matale,Matale,Matale Divisional Secretariat,Matale,garden spice-gardens,807
Travel Agents,LUCKY LIFE TRAVELS & TOURS (PVT) LTD.,"NO. 56/1, GALLE ROAD, DEHIWALA",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Dehiwala,tour-operator travel-agents,808
Spice Gardens,LUCKYLAND-101,"101, PALAPATWELA, MATALE",Unrated,Matale,Matale,Matale Divisional Secretariat,Matale,garden spice-gardens,809
Restaurants,LUFORTUNE,"108/1,SIRIBOPURA,HAMBANTOTA",B,Hambantota,Hambantota,Hambantota Divisional Secretariat,Hambantota,restaurants,810
Travel Agents,LULU HOLIDAYS (PVT) LTD,"NO.135E1/1,GALLE ROAD,DEHIWALA.",Unrated,Colombo,Dehiwala-Mount Lavinia,Dehiattakandiya Divisional Secretariat,Dehiwala.,tour-operator travel-agents,811
Travel Agents,LUMINI TRAVELS & TOURS,"NO:114,GALLE ROAD,MORATUWA",Unrated,Colombo,Moratuwa,Moratuwa Divisional Secretariat,Moratuwa,tour-operator travel-agents,812
Travel Agents,LUXE ASIA (PVT) LTD,"NO.272,VAUXHALL STREET,COLOMBO 02.",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo 02.,tour-operator travel-agents,813
Restaurants,LUXMI RESTAURANT,"NO. 15, RAILWAY STATION ROAD, CHUNNAKAM",A,Jaffna,Jaffna,Jaffna Divisional Secretariat,Chunnakam,restaurant restaurants,814
Travel Agents,LUXURY TRAVEL GROUP (PVT) LTD,"375, 2ND FLOOR, R.A DE MEL MAWATHA,COLOMBO 03",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,815
Travel Agents,LUXURY TRAVEL LANKA,"UPPER FLOOR 10-1,DUTCH HOSPITAL BUILDING,HOSPITAL STREET,FORT,GALLE",Unrated,Galle,Galle,Galle Divisional Secretariat,Galle,tour-operator travel-agents,816
Travel Agents,LUYOU LANKA TOURS (PVT) LTD,"NO.431 A2, PITAKOTTE, KOTTE.",Unrated,Colombo,Sri Jayawardenapura-Kotte,Sri jayawadanapura,Kotte.,tour-operator travel-agents,817
Travel Agents,LYCAFLY(PVT)LTD,"NO. 08, KINROSS AVENUE, COLOMBO 04",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,818
Restaurants,LYONS,"NO. 27, PERADENIYA ROAD, KANDY",A,Kandy,Kandy,Kandy Divisional Secretariat,Kandy,restaurants,819
Travel Agents,M & S TRAVEL SOLUTIONS (PVT) LTD,"NO.233, VAUXHALL STREET, COLOMBO 2",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,820
Travel Agents,M P S HAJ TRAVELS,"NO.14, MAIN STREET, MADURANKULI",Unrated,Puttalam,Puttalam Pradeshiya Sabha,Puttalam Divisional Secretariat,Madurankuli,tour-operator travel-agents,821
Travel Agents,M TRAVELS (PVT)LTD,"NO:25, DEAL PLACE, COLOMBO 03",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,822
Travel Agents,M.A. RAZAK TRAVELS & TOURS LIMITED,"NO.07, 19TH LANE, COLOMBO 03",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,823
Travel Agents,M.D.GUNASENA TRAVEL INTERNATIONAL (PVT) LTD,"NO.150, MIHINDU MAWATHA, COLOMBO 12",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,824
Travel Agents,M.N TRAVELS AND TOURS,"17 B,2ND FLOOR,HORANA,BANDARAGAMA",Unrated,Kalutara,Bandaragama Pradeshiya Sabha,Bandaragama Divisional Secretariat,Bandaragama,tour-operator travel-agents,825
Travel Agents,MAC TRAVELS (PVT) LTD,"NO. 141/9, VAUXHALL STREET, COLOMBO -02",Unrated,Colombo,Colombo,Slave island,Colombo -,tour-operator travel-agents,826
Restaurants,MACHAN (DAMBULLA),"NO 34,MIRISGONIYA,TRINCO ROAD,DAMBULLA",A,Matale,Dambulla Pradeshiya Sabha,Dambulla Divisional Secretariat,Dambulla,restaurants,827
Restaurants,MACHAN (JA ELA),"300.TUDELLA,JA ELA",A,Gampaha,Gampaha,Ja-Ela Divisional Secretariat,Ja Ela,restaurants,828
Restaurants,MACHAN (NEGAMBO),"21,MINUWANGODA ROAD,NEGAMBO",A,Gampaha,Negombo,Negombo Divisional Secretariat,Negambo,restaurants,829
Restaurants,MACHAN (PANNIPITIYA),"179/5,HIGH LEVEL ROAD,PANNIPITIYA",A,Colombo,Maharagama,Maharagama Divisional Secretariat,Pannipitiya,restaurants,830
Travel Agents,MACKWOODS TRAVELS (PRIVATE) LIMITED,"NO.10, GNARTHA PRADEEPA MAWATHA, COLOMBO 8",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,831
Travel Agents,MADINA HAJJ TRAVELS & TOURS,"NO. 323, MACCAMADY ROAD,MARUNTHAMUNAI",Unrated,Ampara,Kalmunai,Kalmunai Divisional Secretariat,Marunthamunai,tour-operator travel-agents,832
Travel Agents,MAGICAL ISLE HOLIDAYS (PVT) LTD,"NO 26.B, NUGEGODA ROAD, PEPLIYANA.",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Pepliyana.,tour-operator travel-agents,833
Restaurants,MAHARAJA PALACE RESTAURANT,"NO. 1/A, RAJAKEEYA MAWATHA, COLOMBO 07",A,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,restaurant restaurants,834
Travel Agents,MAI GLOBE TRAVELS(PVT) LTD,"NO: 65 I.B.C ROAD, COLOMBO 6",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,835
Travel Agents,MAIKA HOLIDAY,"NO.106,CHILAW ROAD,NEGOMBO.",Unrated,Gampaha,Negombo,Negombo Divisional Secretariat,Negombo.,tour-operator travel-agents,836
Restaurants,MAKRIN RESTAURANT AND BAKERY,"NO. 798, HORANA ROAD, BORALESGAMUWA",A,Colombo,Boralesgamuwa,Colombo Divisional Secretariat,Boralesgamuwa,cafe restaurant restaurants,837
Restaurants,MAKYE AME RESTAURANT,"NO 4 1/1, VAJIRA ROAD, COLOMBO 04",B,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,restaurant restaurants,838
Travel Agents,MAL KEY TRAVELS & TOURS (PVT) LTD,"NO.58, PAMANKADA ROAD, COLOMBO 06",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,839
Travel Agents,MALBEVEN TRAVEL (PVT) LTD,"37/1,PANGIRIWATTA ROAD,NUGEGODA",Unrated,Colombo,Colombo,Nugegoda Divisional Secretariat,Nugegoda,tour-operator travel-agents,840
Travel Agents,MALDIVIANA HOLIDAYS (PVT) LTD,"NO. 64A/1, MODARAWELLA, MARAWILA",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Marawila,tour-operator travel-agents,841
Restaurants,MALLIKA TRADING COMPLEX,"KANDY ROAD,KENGALLA.",B,Kandy,Kundasle,Kundasale Divisional Secretariat,Kengalla.,restaurants,842
Restaurants,MALWARSHA TOURIST RESTAURANT,"NO. 245, MALWARUSHAWA, DEHIOWITA",B,Kegalle,Dehiowita Pradeshiya Sabha,Dehiovita Divisional Secretariat,Dehiowita,restaurant restaurants,843
Travel Agents,MALWATTE LEISURE (PRIVATE) LIMITED,"NO 280.DAM STREET ,COLOMBO 12",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,844
Restaurants,MANGALA RECEPTION HALL & CHINESE RESTAURANT,"NO. 329, ""MUNASINGHE MAHAL"", MAKOLA ROAD, KIRIBATHGODA",A,Gampaha,Kelaniya Pradeshiya Sabha,Kelaniya Divisional Secretariat,Kiribathgoda,asian-cuisine restaurant restaurants,845
Travel Agents,MANGO HOLIDAYS (PVT) LTD,"125/21, PETERSON LANE, COLOMBO 6.",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo 6.,tour-operator travel-agents,846
Restaurants,MANGOS,"STALL NO. 1, CRESCAT BOULEVARD, GALLE ROAD, COLOMBO 03",A,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,restaurants,847
Restaurants,MANJE RESTURANT,"NO 622,ANURADHAPURA ROAD,DAMBULLA",B,Matale,Dambulla Pradeshiya Sabha,Dambulla Divisional Secretariat,Dambulla,restaurants,848
Travel Agents,MARIYAM HAJJ-UMRA TRAVELS & TOURS,"NO.145,MAL 13TH ROAD,MALAYADI GIRAMAM 02,SAMMANTHURAI.",Unrated,Ampara,Ampara,Samanthurai Divisional Secretariat,Sammanthurai.,tour-operator travel-agents,849
Travel Agents,MARVIDA TRAVEL LANKA (PVT) LTD,"NO.165, COLOMBO ROAD, REALITY PLAZA, JA ELA",Unrated,Gampaha,Gampaha,Ja-Ela Divisional Secretariat,Ja Ela,tour-operator travel-agents,850
Restaurants,MATHURA MADRAS WOODLANDS,"16, MELBOURNE AVENUE, COLOMBO 04",A,Colombo,Colombo,Thimbirigasyaya Divisional Secretariat,Colombo,restaurants,851
Restaurants,MATHURA MADRAS WOODLANDS,"165,MAIN STREET,BATHTHARAMULLA",A,Colombo,Kaduwela Pradeshiya Sabha,kaduwela Divisional Secretariat,Baththaramulla,restaurants,852
Travel Agents,MAY FLOWER HOLIDAYS (PVT) LTD.,"NO.11, MOUNT AVENUE, MOUNT LAVINIA",Unrated,Colombo,Colombo,Mount Lavinia,Mount Lavinia,tour-operator travel-agents,853
Travel Agents,MEDICAL TOURISM (PVT) LTD,"NO.30/3/2, MAHARAGAMA ROAD, PILIYANDALA.",Unrated,Colombo,Kesbewa,Kesbewa Divisional Secretariat,Piliyandala.,tour-operator travel-agents,854
Travel Agents,MEERA TRAVEL AND TOURS (PVT) LTD,"NO:76A, NEW TOWN ,DIGANA,RAJAWELLA,KANDY",Unrated,Kandy,Kandy,Kandy Divisional Secretariat,Kandy,tour-operator travel-agents,855
Travel Agents,MEILE TRAVELS LANKA (PVT)LTD,"NO 403/C/1/1,HENDALA,WATTALA",Unrated,Gampaha,Wattala Pradeshiya Sabha,Wattala Divisional Secretariat,Wattala,tour-operator travel-agents,856
Travel Agents,MELON KUGAR ASIA PVT LIMITED,"NO 7,WASALA ROAD,DEHIWALA",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Dehiwala,tour-operator travel-agents,857
Travel Agents,MERIDIAN ESCAPES (PVT) LTD,"NO.532/3,MADIWELA ROAD,THALAWATHUGODA",Unrated,Colombo,Maharagama,Maharagama Divisional Secretariat,Thalawathugoda,tour-operator travel-agents,858
Restaurants,METHRA RESTAURANT,"NO. 179, STANLEY THILAKARATHNA MAWATHA, NUGEGODA",A,Colombo,Kotte Muncipal Council,Sri jayawadanapura,Nugegoda,restaurant restaurants,859
Travel Agents,MIDLAND TRAVELS (PVT) LTD,"2ND FLOOR,NO.14, 16TH LANE, COLOMBO 03.",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo 03.,tour-operator travel-agents,860
Travel Agents,MILANEE TRAVELS AND TOURS (PVT) LTD,"235/1,GALLE ROAD,DEHIWALA",Unrated,Colombo,Dehiwala-Mount Lavinia,Dehiwala Divisional Secretariat,Dehiwala,tour-operator travel-agents,861
Travel Agents,MILLENNIUM TRAVELS AND TOURS (PVT) LTD,"NO. 532/3G/1, SIRIKOTHA LANE, COLOMBO 03",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,862
Travel Agents,MINA TRAVELS & TOURS (PVT) LTD,"G / L/ G 3, DIAS PLACE, GUNASINGHAPURA, COLOMBO 12",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,863
Travel Agents,MING HAN INTERNATIONAL TRAVEL AGENTS (PVT) LTD,"NO:20,DEANSTONE PLACE,COLOMBO 3",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,864
Restaurants,MINISTRY OF CRAB,"SHOP 4, OLD DUTCH HOSPITAL BUILDING BANK OF CEYLON MAWATHA, COLOMBO FORT",A,Colombo,Colombo,Colombo Divisional Secretariat,Colombo Fort,restaurants,865
Travel Agents,MINOLTA TRAVELS & TOURS,"NO: 520, 2ND DIVISION, MARADANA, COLOMBO 10.",Unrated,Colombo,Colombo,Maradana,Colombo 10.,tour-operator travel-agents,866
Restaurants,MINTAGE RESTAURANT & BAR,"NO154, KINYSEY ROAD, COLOMBO07",A,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,nightlife restaurant restaurants,867
Travel Agents,MIRACLE DESTINATIONS (PVT) LTD,"20 A, SULAIMAN AVENUE, OFF JAWATTA ROAD, COLOMBO 05",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,868
Travel Agents,MIRACULOUS ESCAPES (PVT) LTD,"NO.437, GALLE ROAD, RATMALANA",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Ratmalana,tour-operator travel-agents,869
Travel Agents,MIRACULOUS HOLIDAYS (PVT) LTD,"73/1/1,COLOMBO ROAD,PILIYANDALA",Unrated,Colombo,Kesbewa,Kesbewa Divisional Secretariat,Piliyandala,tour-operator travel-agents,870
Water Sports Centers,MIRISSA WATERSPORTS (PVT) LTD,"GALLE ROAD,MIRISSA (MIRISSA HARBOUR)",Unrated,Matara,Weligama Pradeshiya Sabha,Weligama Divisional Secretariat,Mirissa (Mirissa Harbour),water-sports-centers watersport,871
Restaurants,MISS SUGAR,"NO:246,LEWIS PLACE,NEGOMBO,SRILANKA",A,Gampaha,Negombo,Negombo Divisional Secretariat,Srilanka,restaurants,872
Travel Agents,MIWAMI HOLDINGS ( PVT ) LTD,"NO 171/1A KOSWATTA ROAD,KALAPALUWAWA,RAJAGIRIYA",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Rajagiriya,tour-operator travel-agents,873
Restaurants,MIYULA RESTAURANT,"KANDY COLOMBO ROAD,PAHALA KADUGANNAWA,HINGULA",B,Kegalle,Kegalle,Kegalle Divisional Secretariat,Hingula,restaurant restaurants,874
Restaurants,MLESNA TEA CASTLE,"NUWARA ELIYA ROAD, PATHANA, TALAWAKELE",A,Nuwara Eliya,Kandy,Yatinuwara Divisional Secretariat,Talawakele,cafe restaurants,875
Restaurants,MLESNA TEA FORTRESS RESTAURANT,"NO. 445, COLOMBO ROAD, KIRIBATHKUMBURA",A,Kandy,Yatinuwara Pradeshiya Sabha,Yatinuwara Divisional Secretariat,Kiribathkumbura,cafe restaurant restaurants,876
Travel Agents,MODERN VOYAGES (PVT) LTD,"NO.173, VIJAYA KUMARANATHUNGA MAWATHA, COLOMBO 5",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,877
Restaurants,MOMO,"NO.11, NEGOMBO ROAD, WATTALA",A,Gampaha,Wattala Pradeshiya Sabha,Wattala Divisional Secretariat,Wattala,restaurants,878
Restaurants,MONSOON COLOMBO,"MONSSON COLOMBO,PARK STREET MEWS, PARK STREET,COLOMBO 2",A,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,restaurants,879
Restaurants,MONTE ZITA RESTAURANT,"39A,HORTON PLACE, COLOMBO 07",A,Colombo,MC,Thimbirigasyaya Divisional Secretariat,Colombo,restaurant restaurants,880
Restaurants,MOON RIVER CHINESE SEA FOOD RESTAURANT,"NO. 140, THIMBIRIGASYAYA ROAD, COLOMBO 05",A,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,asian-cuisine beach restaurant restaurants,881
Restaurants,MOSHI MOSHI INTERNATIONAL,"NO. 594/2, GALLE ROAD, COLOMBO 03",A,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,restaurants,882
Restaurants,MOTHER'S KITCHEN,"NO.284, KATUGASTOTA RD, KANDY",A,Kandy,Kandy,Kandy Divisional Secretariat,Kandy,restaurant restaurants,883
Travel Agents,MOULANA TRAVELS & TOURS (PVT)LTD,"NO. 195, LEVEL 01, GALLE ROAD, BAMBALAPITIYA, COLOMBO 04",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,884
Restaurants,MOUNT GRILL,"221, GALLE ROAD MOUNT LAVINIA",A,Colombo,Colombo,Colombo Divisional Secretariat,Galle Road Mount Lavinia,grill restaurants,885
Travel Agents,MSA TRAVELS AND TOURS (PVT)LTD,"NO:77, MALIBAN STREET,COLOMBO 11",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,886
Travel Agents,MULTHAZAM ENTERPRISES & TRAVELS,"NO.262K, MAIN STREET, SAINTHAMARUTHU- 07",Unrated,Ampara,Kalmunai,Kalmunai Divisional Secretariat,Sainthamaruthu-,tour-operator travel-agents,887
Travel Agents,MUNA TRAVELS AND TOURS,"NO 53,1ST FLOOR,JAYANTHA WEERASEKARA MAWATTE,COLOMBO 10",Unrated,Anuradhapura,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,888
Travel Agents,MY FLIGHT ZONE (PVT) LTD,"NO:461, CHILAW ROAD, KATTUWA, NEGOMBO",Unrated,Gampaha,Negombo,Negombo Divisional Secretariat,Negombo,tour-operator travel-agents,889
Travel Agents,MY VACATION INTERNATIONAL TRAVELS,"NO:374/4,GALLE ROAD,GORAKANA,KESELWATHTHA",Unrated,Kalutara,Panadura Pradeshiya Sabha,Panadura Divisional Secretariat,Keselwaththa,tour-operator travel-agents,890
Travel Agents,N M LANKA TRAVELS COMPANY,"NO.2/1, NANDANA MOTORS BUILDING, MALIGAWATTE, COLOMBO 10",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,891
Travel Agents,N P S TRAVELS (PVT) LTD,"2ND FLOOR, LANKAMATHA BUILDING, CHILAW ROAD, WENNAPPUWA",Unrated,Gampaha,Wennappuwa Pradeshiya Sabha,Wennappuwa Divisional Secretariat,Wennappuwa,tour-operator travel-agents,892
Travel Agents,N.F TRAVEL SERVICE,"NO:70/14 L.LUCKY PLAZA,S.T ANTHONY MAWATHA,COLOMBO 3",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,893
Travel Agents,N.M. TRAVELS & TOURS (PVT) LTD,"NO.569, GALLE ROAD, COLOMBO 06",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,894
Restaurants,NALLUR BHAVAN,"250, TEMPLE ROAD, NALLUR, JAFFNA",B,Jaffna,Jaffna,Jaffna Divisional Secretariat,Jaffna,restaurants,895
Restaurants,NANKING DELIGHTS CHINESE RESTAURANT,"NO. 885/1A & NO. 885 1/1D, BUTHGAMUWA ROAD, GOTHATUWA, NEWTOWN",A,Colombo,Kotikawatta Mulleriyawa Pradeshiya Sabha,Kolonnawa Divisional Secretariat,Newtown,asian-cuisine restaurant restaurants,896
Tourist Shops,NATURAL GEMS & GEMOLOGICAL MUSEUM,"NO.530,COLOMBO ROAD,KIRIBATHKUMBURA,KANDY.",Unrated,Kandy,Yatinuwara Pradeshiya Sabha,Yatinuwara Divisional Secretariat,Kandy.,tourist-shops,897
Travel Agents,NATURE EXPLORER LANKA (PVT)LTD,"NO 290,OREX CITY,EKALA,JA-ELA",Unrated,Gampaha,Ja-Ela Pradeshiya Sabha,Ja-Ela Divisional Secretariat,Ja-Ela,tour-operator travel-agents,898
Travel Agents,NATURE LANKA TRAVELS & TOURS,"NO: 163/5/97/M,AWISSAWELLA ROAD,WELLAMPITIYA",Unrated,Colombo,Kuliyapitiya,Kolonnawa Divisional Secretariat,Wellampitiya,tour-operator travel-agents,899
Restaurants,NATURE VILLAGE AND RESTATURANT,"323/11, PAHALA BOMIRIYA, KADUWELA",A,Colombo,Kaduwela Pradeshiya Sabha,kaduwela Divisional Secretariat,Kaduwela,restaurants,900
Travel Agents,NATURE'S LINK TRAVEL & TOURS,"NO.86/610, SUMAGA MAWATHA, GABADAWATTA-2, PITIPANA - NORTH, HOMAGAMA",Unrated,Colombo,Colombo,Homagama Divisional Secretariat,Homagama,tour-operator travel-agents,901
Travel Agents,NAWAMINI TRAVELS (PRIVATE) LIMITED,"NO.128, 2ND FLOOR, MUHANDIRAM ROAD, COLOMBO-03",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo-,tour-operator travel-agents,902
Restaurants,NEBULA GARDENS,"NO. 88/1, WELIPENNA ROAD, ALUTHGAMA",B,Galle,Aluthgama,Aluthgama,Aluthgama,restaurants,903
Restaurants,NETHMINA RESTAURANT,"NO. 31/1, DENIYAYA ROAD, AKURESSA",B,Matara,Akuressa Pradeshiya Sabha,Akuressa Divisional Secretariat,Akuressa,restaurant restaurants,904
Travel Agents,NETPEARL INTERNATIONAL (PRIVATE ) LIMITED,"NO:63, 2/3, KANDY ROAD, KIRIBATHGODA, KELANIYA",Unrated,Gampaha,Kelaniya Pradeshiya Sabha,Kelaniya Divisional Secretariat,Kelaniya,tour-operator travel-agents,905
Spice Gardens,NEW ALL SPICE GARDEN,"THUNTOTAWATTA, MOLAGODA, KEGALLE",Unrated,Kegalle,Kegalle,Kegalle Divisional Secretariat,Kegalle,garden spice-gardens,906
Restaurants,NEW BLUE LAGOON RESTURANT,"NO 63/33,RANTHAMBILIGAHAWATTA,MORAGALLA,ALUTHGAMA",B,Kalutara,Beruwala Pradeshiya Sabha,Beruwala Divisional Secretariat,Aluthgama,restaurants,907
Restaurants,NEW CITY RESTAURANT,"NO. 121, D.S. DE.S. JAYASINGHE MAWATHA, KOHUWALA",A,Colombo,Colombo,Colombo Divisional Secretariat,Kohuwala,restaurant restaurants,908
Spice Gardens,NEW LUCKUYANA SPICE AND HERBAL GARDEN,"NO:200,RANDENIYA,HIRIWADUNNA,KEGALLE",Unrated,Kegalle,Kegalle,Kegalle Divisional Secretariat,Kegalle,garden spice-gardens wellness,909
Spice Gardens,NEW LUCKY LAND SPICE GARDEN,"KANDY ROAD, HINGULA",Unrated,Kegalle,Kegalle,Mawanella Divisional Secretariat,Hingula,garden spice-gardens,910
Restaurants,NEW MAY FLOWER RESTAURANT,"NO. 5/1/1, OLD KESBAWA ROAD, NUGEGODA",A,Colombo,Kotte Muncipal Council,Sri jayawadanapura,Nugegoda,restaurant restaurants,911
Spice Gardens,NEW NILWALA SPICE GARDEN,"NO. 07, KIRIGALPOTHA, PALAPATHWELA, MATALE",Unrated,Matale,Matale,Matale Divisional Secretariat,Matale,garden spice-gardens,912
Spice Gardens,NEW PARADISE SPICE GARDEN,"KANDY COLOMBO ROAD, ANWARAMA, MAWANELLA",Unrated,Matale,Matale,Mawanella Divisional Secretariat,Mawanella,garden spice-gardens,913
Spice Gardens,NEW PARADISE SPICE GARDEN,"NO. 09, KAWUDUPELLELA, MATALE",Unrated,Matale,Matale,Matale Divisional Secretariat,Matale,garden spice-gardens,914
Restaurants,NEW PARADISE TOURIST RESTAURANT,"UTHUWANKANDA, MAWANELLA",A,Kegalle,Kegalle,Mawanella Divisional Secretariat,Mawanella,restaurant restaurants,915
Restaurants,NEW RANRO RESTAURANT,"NO. 462, COLOMBO ROAD, PILIMATALAWA",A,Kandy,Kandy,Yatinuwara Divisional Secretariat,Pilimatalawa,restaurant restaurants,916
Restaurants,NEW RANSILU RESTAURANT,"NO. 436/73, ELVITIGALA MAWATHA, COLOMBO 05",A,Colombo,Colombo,Thimbirigasyaya Divisional Secretariat,Colombo,restaurant restaurants,917
Spice Gardens,NEW REGENT SPICE AND HERBAL GARDEN,"NO. 6, UTHUWANKANDA, MAWANELLA.",Unrated,Kegalle,Kegalle,Mawanella Divisional Secretariat,Mawanella.,garden spice-gardens wellness,918
Restaurants,NEW SIGIRI RESTAURANT,"EHALAGALA, SIGIRIYA",A,Matale,Dambulla Pradeshiya Sabha,Dambulla Divisional Secretariat,Sigiriya,restaurant restaurants,919
Restaurants,NEW SUNSHINE RESTAURANT,"NO. 437, KANDY ROAD, KELANIYA",A,Gampaha,Kelaniya Pradeshiya Sabha,Kelaniya Divisional Secretariat,Kelaniya,restaurant restaurants,920
Restaurants,NEW THISARA CHINESE RESTAURANT,"NO. 22, OLD ROAD, PANNIPITIYA",A,Colombo,Maharagama,Colombo Divisional Secretariat,Pannipitiya,asian-cuisine restaurant restaurants,921
Restaurants,NICAS RESTAURANT & BAR,"NO. 361, YAKKALA ROAD, BANDARAWATTA, GAMPAHA",A,Gampaha,Gampaha,Gampaha Divisional Secretariat,Gampaha,nightlife restaurant restaurants,922
Travel Agents,NICO EXPLORERS (PVT) LTD,"NO.07,KOTHALAWELA GARDENS,COLOMBO 04",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,923
Travel Agents,NIHON LANKA HOLIDAY (PVT) LTD,"NO:233/3,RATHMALDENIYA ROAD,PANNIPITIYA",Unrated,Colombo,Maharagama,Kesbewa Divisional Secretariat,Pannipitiya,tour-operator travel-agents,924
Restaurants,NIHONBASHI RESTAURANT,"NO 11, GALLE FACE TERRACE, COLOMBO 03",A,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,restaurant restaurants,925
Restaurants,NILAVELI VILLAGE RESTAURANT,"WARD NO.3, GOPALAPURAM, NILAVELI",A,Trincomalee,Trincomalee,Kuchchaveli Divisional Secretariat,Nilaveli,restaurant restaurants,926
Restaurants,NIMANSALA RESTAURANT,"NO. 784, HIGH LEVEL ROAD, PANAGODA, HOMAGAMA",A,Colombo,Homagama Pradeshiya Sabha,Homagama Divisional Secretariat,Homagama,restaurant restaurants,927
Restaurants,NIPPON RESTAURANT,"NO.32,SRI MOHOMED MACAN MARKAR MAWATHA ,COLOMBO 03",A,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,restaurant restaurants,928
Restaurants,NIPUNA RESTAURANT,"NO. 57, MAIN STREET, KEGALLE",A,Kegalle,Kegalle,Kegalle Divisional Secretariat,Kegalle,restaurant restaurants,929
Restaurants,NIPUNA RESTAURANT (ALAWWA),"NO. 372, COLOMBO ROAD, KAPUWARALA, ALAWWA",A,Kurunegala,Alawwa Pradeshiya Sabha,Alawwa Divisional Secretariat,Alawwa,restaurant restaurants,930
Restaurants,NIRMALA RESTAURANT,"SRI JAYAWARDENAPURA ROAD, DELDUWA, WADDUWA.",A,Kalutara,Kalutara Pradeshiya Sabha,Wadduwa,Wadduwa.,restaurant restaurants,931
Travel Agents,NIROGA TRAVELS & TOURS (PVT)LTD,"""MADUGANGA VILLA"",SAMAGI MAWATH,MAHALADUWA,BALAPITIYA",Unrated,Galle,Galle,Balapitiya Divisional Secretariat,Balapitiya,tour-operator travel-agents,932
Spa & Wellness Centers,NIROGI SPA,THE SAFARI HOTEL TISSAMAHARAMA,Unrated,Hambantota,Hambantota,Hambantota Divisional Secretariat,The Safari Hotel Tissamaharama,spa-and-wellness-centers wellness,933
Spa & Wellness Centers,NIROGI SPA,"THE SURF HOTEL,BENTOTA",Unrated,Galle,Bentota Pradeshiya Sabha,Galle Divisional Secretariat,Bentota,spa-and-wellness-centers wellness,934
Tourist Shops,NISHANTHA WOOD CARVINGS,"NO. 3, 26TH POST, HATHAMUNA ROAD, POLONNARUWA",Unrated,Polonnaruwa,Polonnaruwa,Padiyathalawa Divisional Secretariat,Polonnaruwa,tourist-shops,935
